;;;;1;2;3;4;5;6;7;8;9;10;11;12
;PT;DIVISI;Wilayah;No Blok;;TT;LUAS;POKOK;;;;ASAL BIBIT;TOPOGRAFI;SOIL TYPE;SPH
;;;;Baru;Lama;;;TOTAL;PRODUKTIF;BELUM PRODUKTIF;Mati;;;;
37;TPN;TALUMOPATU;BUKIT AREN; P7 ;BJ70, BJ71, BJ72;2017; 15,38 ; 2.234,00 ; 744,00 ;; 1.490 ; Damimas ;;; 48 
38;TPN;TALUMOPATU;BUKIT AREN; P8 ;CC72, CD70, CD71;2017; 22,19 ; 2.499,00 ; - ;; 2.499 ; Damimas ;;; -   
39;APK;TALUMOPATU;TALUMOPATU; K6 ;Z72, Z73, Z74;2016; 44,78 ; 3.945,00 ; - ;; 3.945 ; Damimas ;;; -   
40;TPN;TALUMOPATU;TALUMOPATU; K7 ;BA72, BA73;2016; 19,93 ; 1.999,00 ; - ;; 1.999 ; Damimas ;;; -   
41;TPN;TALUMOPATU;TALUMOPATU; K8 ;BC76, BC79, BC80;2016; 37,33 ; 2.122,00 ; - ;; 2.122 ; Damimas ;;; -   
42;TPN;TALUMOPATU;TALUMOPATU; N6 ;BF54, BF59, BF63;2016; 7,59 ; 923,00 ; - ;; 923 ; Damimas ;;; -   
43;TPN;TALUMOPATU;TALUMOPATU; N7 ;BG55, BG56, BG57, BG58, BG59, BG60, BG62;2016; 18,45 ; 2.424,00 ; - ;; 2.424 ; Damimas ;;; -   
44;HJA ;LIYODU;Molanihu; A1 ;J68, K69, K70, K71;2016; 34,46 ; 4.718,00 ; 4.690 ;; 28 ; Damimas ;;; 136 
45;HJA ;LIYODU;Molanihu; A2 ;J71, J72, J73, J74;2016; 13,20 ; 1.786,00 ; 1.722 ;; 64 ; Damimas ;;; 130 
46;HJA ;LIYODU;MOlanihu; A3 ;I70, J69, J70;2016; 28,54 ; 3.702,00 ; 3.582 ;; 120 ; Damimas ;;; 126 
47;HJA ;LIYODU;Molanihu; A4 ;K80, K81, K82, K83;2017; 27,87 ; 3.902,00 ; 2.792 ;; 1.110 ; Damimas ;;; 100 
48;HJA ;LIYODU;Molanihu; A5 ;J77, J78;2016; 12,75 ; 1.470,00 ; 1.435 ;; 35 ; Damimas ;;; 113 
49;HJA ;LIYODU;Molanihu; A6 ;I73, I76, I77;2016; 20,96 ; 2.578,00 ; 2.176 ;; 402 ; Damimas ;;; 104 
50;HJA ;LIYODU;Molanihu; A7 ;I75, I79;2016; 25,88 ; 3.427,00 ; 2.387 ;; 1.040 ; Damimas ;;; 92 
51;HJA ;LIYODU;Molanihu; A8 ;H78, I74;2016; 31,23 ; 4.320,00 ; 3.722 ;; 598 ; Damimas ;;; 119 
52;HJA ;LIYODU;Liyodu; B1 ;H72, H73, H74;2015; 26,74 ; 3.511,00 ; 3.162 ;; 349 ; Damimas ;;; 118 
53;HJA ;LIYODU;Liyodu; B2 ;H76, H77;2016; 16,83 ; 2.100,00 ; 1.850 ;; 250 ; Damimas ;;; 110 
54;HJA ;LIYODU;Liyodu; B3 ;H75;2015; 8,09 ; 1.083,00 ; 1.014 ;; 69 ; Damimas ;;; 125 
55;HJA ;LIYODU;Liyodu; B4 ;G71, G72;2015; 31,09 ; 4.233,00 ; 4.011 ;; 222 ; Damimas ;;; 129 
56;HJA ;LIYODU;Liyodu; B5 ;G73, G74;2016; 23,37 ; 3.071,00 ; 2.888 ;; 183 ; Damimas ;;; 124 
57;HJA ;LIYODU;Liyodu; B6 ;F68, G68;2016; 11,63 ; 1.484,00 ; 1.444 ;; 40 ; Damimas ;;; 124 
58;HJA ;LIYODU;Liyodu; B7 ;F70, F71;2016; 17,18 ; 2.123,00 ; 1.919 ;; 204 ; Damimas ;;; 112 
59;HJA ;LIYODU;Liyodu; B8 ;F73;2016; 14,10 ; 1.599,00 ; 1.214 ;; 385 ; Damimas ;;; 86 
60;HJA ;LIYODU;Liyodu; B9 ;E74, F74;2016; 34,93 ; 4.659,00 ; 2.871 ;; 1.788 ; Damimas ;;; 82 
61;HJA ;LIYODU;Liyodu; B10 ;F72;2016; 13,86 ; 1.737,00 ; 1.693 ;; 44 ; Damimas ;;; 122 
62;HJA ;LIYODU;Liyodu; B11 ;E71, E72, E73;2016; 27,65 ; 3.057,00 ; 2.492 ;; 565 ; Damimas ;;; 90 
63;HJA ;LIYODU;Molas; C1 ;I66, I68, I69, I71;2017; 20,57 ; 2.689,00 ; 2.823 ;;; Damimas ;;; 137 
64;HJA ;LIYODU;Molas; C2 ;H70, H64;2016; 22,11 ; 1.979,00 ; 1.969 ;; 10 ; Damimas ;;; 89 
65;HJA ;LIYODU;Molas; C3 ;H65, G63, G66;2016; 27,24 ; 3.626,00 ; 3.299 ;; 327 ; Damimas ;;; 121 
66;HJA ;LIYODU;Molas; C4 ;H69;2016; 25,01 ; 3.258,00 ; 2.140 ;; 1.118 ; Damimas ;;; 86 
67;HJA ;LIYODU;Molas; C5 ;H71;2016; 14,26 ; 123,00 ; 830 ;;; Damimas ;;; 58 
68;HJA ;LIYODU;Molas; C6 ;H66, G67;2015; 30,05 ; 3.880,00 ; 2.850 ;; 1.030 ; Damimas ;;; 95 
69;HJA ;LIYODU;Liyoto; D1 ;F69;2016; 6,13 ; 741,00 ; 727 ;; 14 ; Damimas ;;; 119 
70;HJA ;LIYODU;Liyoto; D2 ;E70, E69, E68;2016; 22,97 ; 2.867,00 ; 2.760 ;; 107 ; Damimas ;;; 120 
71;HJA ;LIYODU;Liyoto; D3 ;D70, D71;2016; 8,61 ; 1.057,00 ; 325 ;; 732 ; Damimas ;;; 38 
72;HJA ;LIYODU;Liyoto; D4 ;D68;2017; 5,10 ; 660,00 ; 550 ;; 110 ; Damimas ;;; 108 
73;HJA ;LIYODU;Liyoto; D5 ;C73;2017; 12,16 ; 978,00 ; 536 ;; 442 ; Damimas ;;; 44 
74;HJA ;LIYODU;Liyoto; D6 ;D67, E67, E64;2016; 12,10 ; 1.248,00 ; 933 ;; 315 ; Damimas ;;; 77 
75;HJA ;LIYODU;Liyoto; D7 ;C68, C69, D69;2016; 27,83 ; 3.508,00 ; 1.438 ;; 2.070 ; Damimas ;;; 52 
76;HJA ;LIYODU;Liyoto; D10 ;E62;2017; 0,76 ; - ; - ;; -   ; Damimas ;;; -   
77;HJA ;LIYODU;Batulayar; E1 ;D61;2016; 5,01 ; 801,00 ; 795 ;; 6 ; Damimas ;;; 159 
78;HJA ;LIYODU;Batulayar; E2 ;D65, C64, C65, C67;2016; 18,57 ; 2.245,00 ; 2.063 ;; 182 ; Damimas ;;; 111 
79;HJA ;LIYODU;Batulayar; E3 ;B62, C61, C62, C63;2016; 28,60 ; 3.825,00 ; 3.331 ;; 494 ; Damimas ;;; 116 
