;;;;1;2;3;4;5;6;7;8;9;10;11;12
;PT;DIVISI;Wilayah;No Blok;;TT;LUAS;POKOK;;;;ASAL BIBIT;TOPOGRAFI;SOIL TYPE;SPH
;;;;Baru;Lama;;;TOTAL;PRODUKTIF;BELUM PRODUKTIF;Mati;;;;
169;HJA;TOYIDITO;Molamahu;H2;H14;2016; 10,04 ; 747,00 ; 747,00 ;; -   ;;;; 74 
170;HJA;TOYIDITO;Molamahu;H3;H2,H3;2016; 23,88 ; 2.337,00 ; 2.337,00 ;; -   ;;;; 98 
171;HJA;TOYIDITO;Molamahu;H4;H1;2016; 26,82 ; 1.894,00 ; 1.894,00 ;; -   ;;;; 71 
172;HJA;TOYIDITO;Molamahu;H5;H4;2015; 27,51 ; 3.115,00 ; 2.971,00 ;; 144 ;;;; 108 
173;HJA;TOYIDITO;Molamahu;H6;H5;2016; 12,14 ; 1.045,00 ; 1.045,00 ;; -   ;;;; 86 
174;HJA;TOYIDITO;Molamahu;H7;I10;2016; 21,11 ; 1.774,00 ; 1.244,00 ;; 530 ;;;; 59 
175;HJA;TOYIDITO;Molamahu;H8;I11,I12;2016; 25,08 ; 2.354,00 ; 2.354,00 ;; -   ;;;; 94 
176;HJA;TOYIDITO;Molamahu;H9;I14;2016; 7,14 ; 791,00 ; 791,00 ;; -   ;;;; 111 
177;HJA;TOYIDITO;Molamahu;H10;I2;2016; 12,56 ; 964,00 ; 973,00 ;; (9);;;; 77 
178;HJA;TOYIDITO;Molamahu;H11;I3;2016; 20,90 ; 1.399,00 ; 1.135,00 ;; 264 ;;;; 54 
179;HJA;TOYIDITO;Molamahu;H12;I4;2015; 14,85 ; 1.565,00 ; 1.565,00 ;; -   ;;;; 105 
180;HJA;TOYIDITO;Molamahu;H13;I7;2015; 23,48 ; 2.740,00 ; 1.945,00 ;; 795 ;;;; 83 
181;HJA;TOYIDITO;Molamahu;H14;I8;2016; 20,21 ; 2.158,00 ; 1.926,00 ;; 232 ;;;; 95 
182;HJA;TOYIDITO;Molamahu;H15;J11,J12,J13;2016; 32,80 ; 2.874,00 ; 2.774,00 ;; 100 ;;;; 85 
183;HJA;TOYIDITO;Molamahu;H16;J14,J15;2016; 23,50 ; 1.930,00 ; 2.246,00 ;; (316);;;; 96 
184;HJA;TOYIDITO;Molamahu;H17;J16,J17,J18,J19;2017; 16,64 ; 626,00 ; 715,00 ;; (89);;;; 43 
185;HJA;TOYIDITO;Molamahu;H18;J3;2016; 11,58 ; 731,00 ; 700,00 ;; 31 ;;;; 60 
186;HJA;TOYIDITO;Molamahu;H19;J5,J6,J4,J7;2016; 34,64 ; 3.360,00 ; 730,00 ;; 2.630 ;;;; 21 
187;HJA;TOYIDITO;Molamahu;H20;J8,J9,I9;2016; 29,62 ; 2.916,00 ; 2.369,00 ;; 547 ;;;; 80 
188;HJA;TOYIDITO;Molamahu;H21;K6,K8,K9;2016; 23,51 ; 1.974,00 ; 781,00 ;; 1.193 ;;;; 33 
189;HJA;TOYIDITO;Molamahu;J3;CC51,CC52,CC53;2018; 12,86 ; 606,00 ; - ;; 606 ;;;; -
